frame;step;year;particles;mpi_ranks;kinetic;potential;total_energy;energy_drift_percent;virial_ratio;max_radius;mean_radius;mean_speed;angular_momentum_norm;potential_is_estimated
0;0;0.000000;2200;4;6.272594354734e+03;-1.710232061380e+04;-1.082972625907e+04;0.00000000;0.73353722;160.56299146;46.07064570;9.468280538853e-02;3.607950301300e+06;0
1;10;200.000000;2200;4;6.040331057488e+03;-1.684559384871e+04;-1.080526279122e+04;0.22589184;0.71714077;161.17507312;45.94633881;9.838356191568e-02;3.607950301300e+06;0
2;20;400.000000;2200;4;6.180090157815e+03;-1.698811656711e+04;-1.080802640929e+04;0.20037302;0.72757803;161.70955795;45.05424382;9.999168576715e-02;3.607950301300e+06;0
3;30;600.000000;2200;4;6.946245541085e+03;-1.775801699856e+04;-1.081177145748e+04;0.16579183;0.78232221;161.50963117;43.52930310;1.061809876147e-01;3.607950301300e+06;0
4;40;800.000000;2200;4;6.780896837005e+03;-1.759111371912e+04;-1.081021688212e+04;0.18014654;0.77094571;160.57345849;42.78990007;1.056724173582e-01;3.607950301300e+06;0
5;50;1000.000000;2200;4;6.970076691255e+03;-1.778171326160e+04;-1.081163657035e+04;0.16703736;0.78396008;158.89243346;41.87592633;1.073379022712e-01;3.607950301300e+06;0
6;60;1200.000000;2200;4;7.117299412117e+03;-1.792657410384e+04;-1.080927469173e+04;0.18884658;0.79405015;156.45073267;41.17013258;1.089696211473e-01;3.607950301300e+06;0
7;70;1400.000000;2200;4;6.745765791502e+03;-1.755594482091e+04;-1.081017902941e+04;0.18049606;0.76848792;153.22447852;40.93733841;1.063819984095e-01;3.607950301300e+06;0
8;80;1600.000000;2200;4;7.249528574110e+03;-1.806447279657e+04;-1.081494422246e+04;0.13649502;0.80262830;149.18041700;40.23289936;1.097383093945e-01;3.607950301300e+06;0
9;90;1800.000000;2200;4;6.963069615286e+03;-1.777571160532e+04;-1.081264199003e+04;0.15775347;0.78343638;144.27387613;40.09724862;1.079815142746e-01;3.607950301300e+06;0
