frame;step;year;particles;mpi_ranks;kinetic;potential;total_energy;energy_drift_percent;virial_ratio;max_radius;mean_radius;mean_speed;angular_momentum_norm;potential_is_estimated
0;0;0.000000;1500;4;2.129574869908e+03;-8.047148531866e+03;-5.917573661958e+03;0.00000000;0.52927440;123.32713415;50.53966559;7.118989532813e-02;2.223580754682e+06;0
1;10;250.000000;1500;4;2.880701165602e+03;-8.801671232454e+03;-5.920970066852e+03;-0.05739523;0.65458050;123.56902510;48.45700876;8.114224858081e-02;2.223580754682e+06;0
2;20;500.000000;1500;4;3.418661505937e+03;-9.337630752343e+03;-5.918969246406e+03;-0.02358373;0.73223317;124.10187267;45.42297905;8.862453836442e-02;2.223580754682e+06;0
3;30;750.000000;1500;4;3.601490905252e+03;-9.519229803324e+03;-5.917738898071e+03;-0.00279230;0.75667695;124.61794854;43.03370198;9.194862908469e-02;2.223580754682e+06;0
4;40;1000.000000;1500;4;3.652435339652e+03;-9.570103012170e+03;-5.917667672517e+03;-0.00158867;0.76330115;124.77449053;41.31756251;9.316676014979e-02;2.223580754682e+06;0
5;50;1250.000000;1500;4;3.628654612264e+03;-9.546040877119e+03;-5.917386264855e+03;0.00316679;0.76024284;124.57101940;40.07123757;9.345876216896e-02;2.223580754682e+06;0
6;60;1500.000000;1500;4;3.688751109889e+03;-9.606262404982e+03;-5.917511295093e+03;0.00105393;0.76798883;124.00822816;38.96646941;9.449196921863e-02;2.223580754682e+06;0
7;70;1750.000000;1500;4;3.685322434876e+03;-9.602994539364e+03;-5.917672104488e+03;-0.00166356;0.76753609;123.08800881;38.22063422;9.455418557806e-02;2.223580754682e+06;0
8;80;2000.000000;1500;4;3.609978460235e+03;-9.527507127457e+03;-5.917528667222e+03;0.00076036;0.75780126;121.81368949;37.80695221;9.387054292327e-02;2.223580754682e+06;0
9;90;2250.000000;1500;4;3.630919016298e+03;-9.548628972534e+03;-5.917709956237e+03;-0.00230321;0.76051107;120.19029565;37.33644246;9.418752467639e-02;2.223580754682e+06;0
10;100;2500.000000;1500;4;3.708031239687e+03;-9.626065826580e+03;-5.918034586893e+03;-0.00778909;0.77041469;118.22496737;36.84566121;9.511301245426e-02;2.223580754682e+06;0
11;110;2750.000000;1500;4;3.747135050074e+03;-9.664987209421e+03;-5.917852159347e+03;-0.00470628;0.77540404;115.92764738;36.62030679;9.563637956910e-02;2.223580754682e+06;0
12;120;3000.000000;1500;4;3.655230818709e+03;-9.572247143452e+03;-5.917016324744e+03;0.00941834;0.76371426;113.31203543;36.91241317;9.445395557752e-02;2.223580754682e+06;0
13;130;3250.000000;1500;4;3.580005295812e+03;-9.497060282382e+03;-5.917054986570e+03;0.00876500;0.75391862;110.39683822;37.43154820;9.339028578363e-02;2.223580754682e+06;0
14;140;3500.000000;1500;4;3.516739011283e+03;-9.433651084373e+03;-5.916912073090e+03;0.01118007;0.74557326;109.02637826;37.96640871;9.239705053841e-02;2.223580754682e+06;0
