frame;step;year;particles;mpi_ranks;kinetic;potential;total_energy;energy_drift_percent;virial_ratio;max_radius;mean_radius;mean_speed;angular_momentum_norm;potential_is_estimated
0;0;0.000000;2200;4;6.272594354734e+03;-1.710232061380e+04;-1.082972625907e+04;0.00000000;0.73353722;160.56299146;46.07064570;9.468280538853e-02;3.607950301300e+06;0
1;40;1000.000000;2200;4;6.956758757636e+03;-1.775162435454e+04;-1.079486559690e+04;0.32189791;0.78378841;158.89240143;41.90348330;1.073622768571e-01;3.607950301300e+06;0
2;80;2000.000000;2200;4;6.967864072147e+03;-1.776337922107e+04;-1.079551514892e+04;0.31590005;0.78452011;138.44564554;39.83433599;1.082548435793e-01;3.607950301300e+06;0
3;120;3000.000000;2200;4;6.927216866752e+03;-1.773116582490e+04;-1.080394895815e+04;0.23802357;0.78136056;135.92008515;40.43451739;1.070202388410e-01;3.607950301300e+06;0
4;160;4000.000000;2200;4;6.821005603750e+03;-1.763038411837e+04;-1.080937851462e+04;0.18788789;0.77377844;139.80159244;42.18674140;1.058164844406e-01;3.607950301300e+06;0
5;200;5000.000000;2200;4;6.645306768132e+03;-1.744041041302e+04;-1.079510364489e+04;0.31969981;0.76205853;160.41609179;42.47931563;1.049041824129e-01;3.607950301300e+06;0
6;240;6000.000000;2200;4;6.702997308565e+03;-1.750619024257e+04;-1.080319293400e+04;0.24500458;0.76578596;191.66919315;42.52804917;1.045335960775e-01;3.607950301300e+06;0
7;280;7000.000000;2200;4;6.878239667771e+03;-1.769072415946e+04;-1.081248449169e+04;0.15920779;0.77760974;215.71755829;42.03069418;1.060993444934e-01;3.607950301300e+06;0
8;320;8000.000000;2200;4;6.911732028615e+03;-1.771777609631e+04;-1.080604406769e+04;0.21867765;0.78020311;229.23060563;41.74871352;1.064179478508e-01;3.607950301300e+06;0
9;360;9000.000000;2200;4;6.600344764625e+03;-1.739378830843e+04;-1.079344354381e+04;0.33502892;0.75893125;233.45212717;42.34629644;1.042631832755e-01;3.607950301300e+06;0
10;400;10000.000000;2200;4;6.930685652947e+03;-1.772537083144e+04;-1.079468517849e+04;0.32356386;0.78200741;228.72386141;41.97979654;1.069678204993e-01;3.607950301300e+06;0
11;440;11000.000000;2200;4;6.777191206393e+03;-1.756176281790e+04;-1.078457161151e+04;0.41695096;0.77181218;214.66081990;41.94129036;1.057370193715e-01;3.607950301300e+06;0
12;480;12000.000000;2200;4;6.634221720277e+03;-1.742578416646e+04;-1.079156244618e+04;0.35239868;0.76142590;207.93757374;42.31650182;1.044012660056e-01;3.607950301300e+06;0
13;520;13000.000000;2200;4;6.613747584389e+03;-1.739552252411e+04;-1.078177493972e+04;0.44277499;0.76039654;222.23723273;42.34697310;1.047402135219e-01;3.607950301300e+06;0
14;560;14000.000000;2200;4;6.688857467436e+03;-1.747850726522e+04;-1.078964979779e+04;0.37005978;0.76538086;229.25700771;42.15118820;1.046794816031e-01;3.607950301300e+06;0
15;600;15000.000000;2200;4;6.797693865870e+03;-1.758371255526e+04;-1.078601868939e+04;0.40358887;0.77318073;236.42517520;42.26417519;1.056909374278e-01;3.607950301300e+06;0
16;640;16000.000000;2200;4;6.659836003308e+03;-1.744643142568e+04;-1.078659542237e+04;0.39826341;0.76346112;255.38781116;42.56400861;1.046154259017e-01;3.607950301300e+06;0
17;680;17000.000000;2200;4;6.918664624477e+03;-1.770827939931e+04;-1.078961477484e+04;0.37038318;0.78140450;266.88182324;42.23030710;1.066698004115e-01;3.607950301300e+06;0
18;720;18000.000000;2200;4;6.931159211098e+03;-1.772741832753e+04;-1.079625911643e+04;0.30903037;0.78197051;271.54798518;42.04686731;1.064436617929e-01;3.607950301300e+06;0
19;760;19000.000000;2200;4;6.876553794031e+03;-1.766135069804e+04;-1.078479690401e+04;0.41487064;0.77871211;269.62253893;42.00552404;1.065095648376e-01;3.607950301300e+06;0
20;800;20000.000000;2200;4;6.943879831031e+03;-1.773433909046e+04;-1.079045925943e+04;0.36258534;0.78309993;261.00939308;42.14759508;1.068585007585e-01;3.607950301300e+06;0
