frame;step;year;particles;mpi_ranks;kinetic;potential;total_energy;energy_drift_percent;virial_ratio;max_radius;mean_radius;mean_speed;angular_momentum_norm;potential_is_estimated
0;0;0.000000;2200;4;6.272255614481e+03;-1.709097730434e+04;-1.081872168986e+04;0.00000000;0.73398443;160.99784191;46.07659443;9.467157347358e-02;3.607094609999e+06;0
1;10;200.000000;2200;4;6.028893408517e+03;-1.682661700869e+04;-1.079772360017e+04;0.19409030;0.71659008;161.30652262;45.95790973;9.831917168478e-02;3.607094609999e+06;0
2;20;400.000000;2200;4;6.213972354454e+03;-1.701192915118e+04;-1.079795679673e+04;0.19193481;0.73054294;161.77144169;45.08582684;1.000508016886e-01;3.607094609999e+06;0
3;30;600.000000;2200;4;6.815596429294e+03;-1.761899350476e+04;-1.080339707547e+04;0.14164903;0.77366467;161.50383462;43.69090463;1.049107661322e-01;3.607094609999e+06;0
4;40;800.000000;2200;4;6.957779891781e+03;-1.776266384843e+04;-1.080488395665e+04;0.12790544;0.78341627;160.50124594;42.70548987;1.069890320322e-01;3.607094609999e+06;0
5;50;1000.000000;2200;4;6.859994433033e+03;-1.766213844415e+04;-1.080214401112e+04;0.15323140;0.77680225;158.75450998;42.01087029;1.066570602699e-01;3.607094609999e+06;0
6;60;1200.000000;2200;4;6.992530824819e+03;-1.779451606049e+04;-1.080198523567e+04;0.15469900;0.78591975;156.24727130;41.26306880;1.079477364519e-01;3.607094609999e+06;0
7;70;1400.000000;2200;4;6.969252911236e+03;-1.777370230765e+04;-1.080444939642e+04;0.13192218;0.78422073;152.95498708;40.78352560;1.076560902145e-01;3.607094609999e+06;0
8;80;1600.000000;2200;4;6.804027395193e+03;-1.760642272655e+04;-1.080239533136e+04;0.15090839;0.77290288;148.84362207;40.54689247;1.066542063585e-01;3.607094609999e+06;0
9;90;1800.000000;2200;4;6.986480818835e+03;-1.778863839607e+04;-1.080215757723e+04;0.15310601;0.78549922;143.86767563;40.07421364;1.083208010754e-01;3.607094609999e+06;0
10;100;2000.000000;2200;4;7.041078112594e+03;-1.784252682884e+04;-1.080144871624e+04;0.15965818;0.78924675;137.96682455;39.75865397;1.085849411240e-01;3.607094609999e+06;0
11;110;2200.000000;2200;4;7.101828863985e+03;-1.790414269541e+04;-1.080231383142e+04;0.15166171;0.79331683;137.11075875;39.61963923;1.090666761149e-01;3.607094609999e+06;0
12;120;2400.000000;2200;4;7.016096044210e+03;-1.782390941943e+04;-1.080781337523e+04;0.10082813;0.78726792;138.34545034;39.70540398;1.082405269803e-01;3.607094609999e+06;0
13;130;2600.000000;2200;4;6.894698356841e+03;-1.769487478451e+04;-1.080017642767e+04;0.17141824;0.77928761;139.58072197;39.93052850;1.073215008802e-01;3.607094609999e+06;0
14;140;2800.000000;2200;4;6.961421889742e+03;-1.776275372560e+04;-1.080133183585e+04;0.16073853;0.78382237;140.80760743;40.16425884;1.074893707388e-01;3.607094609999e+06;0
15;150;3000.000000;2200;4;6.804894782155e+03;-1.760878776932e+04;-1.080389298717e+04;0.13706520;0.77289759;142.01761805;40.56196761;1.061385782135e-01;3.607094609999e+06;0
16;160;3200.000000;2200;4;6.802049431504e+03;-1.759974738619e+04;-1.079769795468e+04;0.19432735;0.77297126;143.20280788;40.88564536;1.062315315547e-01;3.607094609999e+06;0
17;170;3400.000000;2200;4;6.750083735230e+03;-1.755474642996e+04;-1.080466269473e+04;0.12995061;0.76903233;144.35583158;41.34189280;1.055951128722e-01;3.607094609999e+06;0
18;180;3600.000000;2200;4;6.762952710310e+03;-1.756329964124e+04;-1.080034693093e+04;0.16984224;0.77012325;145.46993956;41.65741317;1.059414961064e-01;3.607094609999e+06;0
19;190;3800.000000;2200;4;6.741375405779e+03;-1.754319850228e+04;-1.080182309650e+04;0.15619769;0.76854576;146.53895966;41.92452285;1.052652199946e-01;3.607094609999e+06;0
20;200;4000.000000;2200;4;6.811367673014e+03;-1.762037621147e+04;-1.080900853846e+04;0.08978095;0.77312398;147.55724702;42.15360942;1.057087576056e-01;3.607094609999e+06;0
21;210;4200.000000;2200;4;6.778868370133e+03;-1.758124326792e+04;-1.080237489779e+04;0.15109726;0.77114778;148.51962690;42.32774287;1.051662320308e-01;3.607094609999e+06;0
22;220;4400.000000;2200;4;6.775712404196e+03;-1.757989828800e+04;-1.080418588381e+04;0.13435789;0.77084774;149.42142281;42.47572104;1.051602157524e-01;3.607094609999e+06;0
23;230;4600.000000;2200;4;6.711094187479e+03;-1.751536246012e+04;-1.080426827264e+04;0.13359635;0.76630948;150.25851680;42.64007559;1.044383654816e-01;3.607094609999e+06;0
24;240;4800.000000;2200;4;6.745584687708e+03;-1.755384088870e+04;-1.080825620100e+04;0.09673499;0.76855940;151.02726924;42.67739323;1.050462461604e-01;3.607094609999e+06;0
25;250;5000.000000;2200;4;6.656181406541e+03;-1.745657899701e+04;-1.080039759047e+04;0.16937398;0.76259861;151.88087016;42.77201516;1.045845128409e-01;3.607094609999e+06;0
26;260;5200.000000;2200;4;6.682493508860e+03;-1.748759124425e+04;-1.080509773539e+04;0.12592943;0.76425546;153.85840071;42.76137671;1.046695858394e-01;3.607094609999e+06;0
27;270;5400.000000;2200;4;6.671432134839e+03;-1.747458704455e+04;-1.080315490971e+04;0.14388743;0.76355820;157.07538275;42.69429369;1.045507517887e-01;3.607094609999e+06;0
28;280;5600.000000;2200;4;6.715880590516e+03;-1.752420086813e+04;-1.080832027761e+04;0.09614271;0.76646925;159.50764171;42.54086935;1.046880658983e-01;3.607094609999e+06;0
29;290;5800.000000;2200;4;6.787197983914e+03;-1.759253814930e+04;-1.080534016539e+04;0.12368859;0.77159963;161.17886520;42.31874049;1.054789476679e-01;3.607094609999e+06;0
30;300;6000.000000;2200;4;6.662081846406e+03;-1.746054649833e+04;-1.079846465193e+04;0.18724059;0.76310118;162.10470061;42.21361695;1.048865315211e-01;3.607094609999e+06;0
31;310;6200.000000;2200;4;6.834229983496e+03;-1.763658182672e+04;-1.080235184322e+04;0.15131036;0.77500618;162.29361769;41.96724958;1.061887891422e-01;3.607094609999e+06;0
32;320;6400.000000;2200;4;6.878277106033e+03;-1.768017288939e+04;-1.080189578335e+04;0.15552583;0.77807804;162.46244686;41.84031049;1.063755008849e-01;3.607094609999e+06;0
33;330;6600.000000;2200;4;6.834634412355e+03;-1.763469712458e+04;-1.080006271222e+04;0.17246934;0.77513488;162.68167719;41.80760838;1.061356470384e-01;3.607094609999e+06;0
34;340;6800.000000;2200;4;6.760949371322e+03;-1.756300271468e+04;-1.080205334335e+04;0.15406946;0.76990814;162.18128493;41.86225273;1.057760055013e-01;3.607094609999e+06;0
35;350;7000.000000;2200;4;6.806762366204e+03;-1.761160397462e+04;-1.080484160842e+04;0.12829687;0.77298608;161.11959301;41.88887721;1.056656017313e-01;3.607094609999e+06;0
36;360;7200.000000;2200;4;6.830280634969e+03;-1.763558786276e+04;-1.080530722779e+04;0.12399304;0.77460198;161.02353193;41.87005272;1.061388692449e-01;3.607094609999e+06;0
37;370;7400.000000;2200;4;6.704340005628e+03;-1.750868228515e+04;-1.080434227952e+04;0.13291229;0.76583033;160.18813073;41.93371785;1.052107430133e-01;3.607094609999e+06;0
38;380;7600.000000;2200;4;6.943143684634e+03;-1.774836753662e+04;-1.080522385199e+04;0.12476370;0.78239801;158.60576001;41.73297903;1.069716018214e-01;3.607094609999e+06;0
39;390;7800.000000;2200;4;6.787836781944e+03;-1.759185702659e+04;-1.080402024464e+04;0.13588893;0.77170213;157.84373149;41.80196820;1.058052598429e-01;3.607094609999e+06;0
40;400;8000.000000;2200;4;6.826942247046e+03;-1.762993173211e+04;-1.080298948506e+04;0.14541648;0.77447177;157.63714528;41.79079680;1.059376324122e-01;3.607094609999e+06;0
41;410;8200.000000;2200;4;6.705186663579e+03;-1.750187650652e+04;-1.079668984294e+04;0.20364557;0.76622489;157.34477031;41.85843575;1.054762238854e-01;3.607094609999e+06;0
42;420;8400.000000;2200;4;6.716184100499e+03;-1.751845133996e+04;-1.080226723946e+04;0.15209237;0.76675546;156.96754389;41.84899004;1.051850036819e-01;3.607094609999e+06;0
43;430;8600.000000;2200;4;6.871752688234e+03;-1.767475335400e+04;-1.080300066577e+04;0.14531314;0.77757834;156.50669799;41.75899238;1.062369310605e-01;3.607094609999e+06;0
