frame;step;year;particles;mpi_ranks;kinetic;potential;total_energy;energy_drift_percent;virial_ratio;max_radius;mean_radius;mean_speed;angular_momentum_norm;potential_is_estimated
0;0;0.000000;1800;4;5.011941083941e+03;-1.369176487470e+04;-8.679823790756e+03;0.00000000;0.73211031;159.46115262;47.61973127;9.360839616478e-02;2.980748954270e+06;0
1;40;1000.000000;1800;4;5.608772788854e+03;-1.427002728680e+04;-8.661254497942e+03;0.21393629;0.78609139;154.10490037;43.37322042;1.063961322737e-01;2.980748954270e+06;0
2;80;2000.000000;1800;4;5.650613763531e+03;-1.429883348983e+04;-8.648219726297e+03;0.36410952;0.79036010;137.15602012;40.68032841;1.076213733081e-01;2.980748954270e+06;0
3;120;3000.000000;1800;4;5.529662568086e+03;-1.418525629696e+04;-8.655593728874e+03;0.27915385;0.77963520;140.91872012;41.95895666;1.056016543590e-01;2.980748954270e+06;0
4;160;4000.000000;1800;4;5.296099397904e+03;-1.394748945499e+04;-8.651390057081e+03;0.32758423;0.75943408;143.60733104;44.01054742;1.031079840632e-01;2.980748954270e+06;0
5;200;5000.000000;1800;4;5.501321704417e+03;-1.415611983593e+04;-8.654798131512e+03;0.28831990;0.77723582;167.74210116;44.37456580;1.048362575815e-01;2.980748954270e+06;0
6;240;6000.000000;1800;4;5.364813425976e+03;-1.401422222064e+04;-8.649408794667e+03;0.35041029;0.76562414;188.57486268;44.37080312;1.032797027087e-01;2.980748954270e+06;0
7;280;7000.000000;1800;4;5.480792039695e+03;-1.413797013874e+04;-8.657178099040e+03;0.26090036;0.77532941;202.32688842;43.53916787;1.050629494403e-01;2.980748954270e+06;0
8;320;8000.000000;1800;4;5.300142974806e+03;-1.394480100233e+04;-8.644658027525e+03;0.40514375;0.76016043;213.42991724;43.34512869;1.035227970268e-01;2.980748954270e+06;0
9;360;9000.000000;1800;4;5.385293629354e+03;-1.403102049557e+04;-8.645726866217e+03;0.39282969;0.76762679;213.82211619;43.31798633;1.038365054773e-01;2.980748954270e+06;0
10;400;10000.000000;1800;4;5.473770238554e+03;-1.412713415203e+04;-8.653363913475e+03;0.30484348;0.77493003;203.54404845;43.55873722;1.048330243120e-01;2.980748954270e+06;0
