frame;step;year;particles;mpi_ranks;kinetic;potential;total_energy;energy_drift_percent;virial_ratio;max_radius;mean_radius;mean_speed;angular_momentum_norm;potential_is_estimated
0;0;0.000000;2500;4;7.015672590587e+03;-1.897894091821e+04;-1.196326832762e+04;0.00000000;0.73931128;160.28212107;46.79494575;9.445038904795e-02;4.055140529017e+06;0
1;40;1000.000000;2500;4;7.758983272138e+03;-1.968815335962e+04;-1.192917008748e+04;0.28502445;0.78818802;159.21109498;42.67613227;1.064902326526e-01;4.055140529017e+06;0
2;80;2000.000000;2500;4;7.816025299070e+03;-1.973677257657e+04;-1.192074727750e+04;0.35543005;0.79202669;140.87343555;40.11800653;1.079988819766e-01;4.055140529017e+06;0
3;120;3000.000000;2500;4;7.871058384044e+03;-1.980541655476e+04;-1.193435817072e+04;0.24165768;0.79483896;139.70327031;40.98942205;1.074177343261e-01;4.055140529017e+06;0
4;160;4000.000000;2500;4;7.474803579660e+03;-1.939520289383e+04;-1.192039931417e+04;0.35833864;0.77078890;144.81842594;43.12273033;1.043410557126e-01;4.055140529017e+06;0
5;200;5000.000000;2500;4;7.652607986147e+03;-1.957903531262e+04;-1.192642732647e+04;0.30795097;0.78171451;171.95800761;43.13175858;1.053755617776e-01;4.055140529017e+06;0
6;240;6000.000000;2500;4;7.443849104903e+03;-1.937042272516e+04;-1.192657362026e+04;0.30672811;0.76857890;195.59907503;43.19794894;1.040727577942e-01;4.055140529017e+06;0
7;280;7000.000000;2500;4;7.840241383961e+03;-1.978030002938e+04;-1.194005864542e+04;0.19400787;0.79273230;216.41346737;42.96188936;1.066124831721e-01;4.055140529017e+06;0
8;320;8000.000000;2500;4;7.554150057609e+03;-1.948700406854e+04;-1.193285401093e+04;0.25423083;0.77530133;227.11418174;42.74066552;1.051391389979e-01;4.055140529017e+06;0
9;360;9000.000000;2500;4;7.598637441927e+03;-1.952726721311e+04;-1.192862977118e+04;0.28954091;0.77825918;228.34266599;42.52053411;1.053027384508e-01;4.055140529017e+06;0
10;400;10000.000000;2500;4;7.654941637698e+03;-1.958864434360e+04;-1.193370270590e+04;0.24713666;0.78156931;220.20354921;42.50722535;1.052397915769e-01;4.055140529017e+06;0
