frame;year;path;particles;max_radius;energy_drift_percent;virial_ratio;represented_particles;visual_sample_particles;mode
0;0.0;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0000.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
1;7194244.6043165475;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0001.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
2;14388489.208633095;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0002.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
3;21582733.812949643;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0003.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
4;28776978.41726619;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0004.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
5;35971223.02158273;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0005.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
6;43165467.625899285;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0006.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
7;50359712.230215825;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0007.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
8;57553956.83453238;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0008.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
9;64748201.43884892;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0009.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
10;71942446.04316546;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0010.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
11;79136690.64748201;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0011.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
12;86330935.25179857;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0012.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
13;93525179.8561151;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0013.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
