machine;test_id;test_kind;particles;mpi_ranks;repeat;years;dt;mode;status;returncode;external_wall_seconds;output_dir;python;os_cpu_count
DESKTOP-CVDFUJ0;benchmark_N1000_P1_R1;benchmark;1000;1;1;1000.0;25.0;benchmark;ok;0;4.723054;results\DESKTOP-CVDFUJ0\benchmark_N1000_P1_R1;3.8.20;16
DESKTOP-CVDFUJ0;benchmark_N1000_P1_R2;benchmark;1000;1;2;1000.0;25.0;benchmark;ok;0;4.866146;results\DESKTOP-CVDFUJ0\benchmark_N1000_P1_R2;3.8.20;16
DESKTOP-CVDFUJ0;benchmark_N1000_P1_R3;benchmark;1000;1;3;1000.0;25.0;benchmark;ok;0;4.762604;results\DESKTOP-CVDFUJ0\benchmark_N1000_P1_R3;3.8.20;16
DESKTOP-CVDFUJ0;benchmark_N1000_P2_R1;benchmark;1000;2;1;1000.0;25.0;benchmark;ok;0;3.220907;results\DESKTOP-CVDFUJ0\benchmark_N1000_P2_R1;3.8.20;16
DESKTOP-CVDFUJ0;benchmark_N1000_P2_R2;benchmark;1000;2;2;1000.0;25.0;benchmark;ok;0;3.296948;results\DESKTOP-CVDFUJ0\benchmark_N1000_P2_R2;3.8.20;16
DESKTOP-CVDFUJ0;benchmark_N1000_P2_R3;benchmark;1000;2;3;1000.0;25.0;benchmark;ok;0;3.405272;results\DESKTOP-CVDFUJ0\benchmark_N1000_P2_R3;3.8.20;16
DESKTOP-CVDFUJ0;benchmark_N1000_P4_R1;benchmark;1000;4;1;1000.0;25.0;benchmark;ok;0;2.921665;results\DESKTOP-CVDFUJ0\benchmark_N1000_P4_R1;3.8.20;16
DESKTOP-CVDFUJ0;benchmark_N1000_P4_R2;benchmark;1000;4;2;1000.0;25.0;benchmark;ok;0;2.692329;results\DESKTOP-CVDFUJ0\benchmark_N1000_P4_R2;3.8.20;16
DESKTOP-CVDFUJ0;benchmark_N1000_P4_R3;benchmark;1000;4;3;1000.0;25.0;benchmark;ok;0;2.658026;results\DESKTOP-CVDFUJ0\benchmark_N1000_P4_R3;3.8.20;16
DESKTOP-CVDFUJ0;benchmark_N1000_P8_R1;benchmark;1000;8;1;1000.0;25.0;benchmark;ok;0;2.672168;results\DESKTOP-CVDFUJ0\benchmark_N1000_P8_R1;3.8.20;16
DESKTOP-CVDFUJ0;benchmark_N1000_P8_R2;benchmark;1000;8;2;1000.0;25.0;benchmark;ok;0;2.723265;results\DESKTOP-CVDFUJ0\benchmark_N1000_P8_R2;3.8.20;16
DESKTOP-CVDFUJ0;benchmark_N1000_P8_R3;benchmark;1000;8;3;1000.0;25.0;benchmark;ok;0;2.847158;results\DESKTOP-CVDFUJ0\benchmark_N1000_P8_R3;3.8.20;16
DESKTOP-CVDFUJ0;benchmark_N2000_P1_R1;benchmark;2000;1;1;1000.0;25.0;benchmark;ok;0;16.450436;results\DESKTOP-CVDFUJ0\benchmark_N2000_P1_R1;3.8.20;16
DESKTOP-CVDFUJ0;benchmark_N2000_P1_R2;benchmark;2000;1;2;1000.0;25.0;benchmark;ok;0;16.207708;results\DESKTOP-CVDFUJ0\benchmark_N2000_P1_R2;3.8.20;16
DESKTOP-CVDFUJ0;benchmark_N2000_P1_R3;benchmark;2000;1;3;1000.0;25.0;benchmark;ok;0;16.525596;results\DESKTOP-CVDFUJ0\benchmark_N2000_P1_R3;3.8.20;16
DESKTOP-CVDFUJ0;benchmark_N2000_P2_R1;benchmark;2000;2;1;1000.0;25.0;benchmark;ok;0;10.089969;results\DESKTOP-CVDFUJ0\benchmark_N2000_P2_R1;3.8.20;16
DESKTOP-CVDFUJ0;benchmark_N2000_P2_R2;benchmark;2000;2;2;1000.0;25.0;benchmark;ok;0;10.303456;results\DESKTOP-CVDFUJ0\benchmark_N2000_P2_R2;3.8.20;16
DESKTOP-CVDFUJ0;benchmark_N2000_P2_R3;benchmark;2000;2;3;1000.0;25.0;benchmark;ok;0;10.117921;results\DESKTOP-CVDFUJ0\benchmark_N2000_P2_R3;3.8.20;16
DESKTOP-CVDFUJ0;benchmark_N2000_P4_R1;benchmark;2000;4;1;1000.0;25.0;benchmark;ok;0;7.679213;results\DESKTOP-CVDFUJ0\benchmark_N2000_P4_R1;3.8.20;16
DESKTOP-CVDFUJ0;benchmark_N2000_P4_R2;benchmark;2000;4;2;1000.0;25.0;benchmark;ok;0;7.607186;results\DESKTOP-CVDFUJ0\benchmark_N2000_P4_R2;3.8.20;16
DESKTOP-CVDFUJ0;benchmark_N2000_P4_R3;benchmark;2000;4;3;1000.0;25.0;benchmark;ok;0;8.976653;results\DESKTOP-CVDFUJ0\benchmark_N2000_P4_R3;3.8.20;16
DESKTOP-CVDFUJ0;benchmark_N2000_P8_R1;benchmark;2000;8;1;1000.0;25.0;benchmark;ok;0;7.045603;results\DESKTOP-CVDFUJ0\benchmark_N2000_P8_R1;3.8.20;16
DESKTOP-CVDFUJ0;benchmark_N2000_P8_R2;benchmark;2000;8;2;1000.0;25.0;benchmark;ok;0;7.114576;results\DESKTOP-CVDFUJ0\benchmark_N2000_P8_R2;3.8.20;16
DESKTOP-CVDFUJ0;benchmark_N2000_P8_R3;benchmark;2000;8;3;1000.0;25.0;benchmark;ok;0;6.864334;results\DESKTOP-CVDFUJ0\benchmark_N2000_P8_R3;3.8.20;16
DESKTOP-CVDFUJ0;benchmark_N3000_P1_R1;benchmark;3000;1;1;1000.0;25.0;benchmark;ok;0;35.684212;results\DESKTOP-CVDFUJ0\benchmark_N3000_P1_R1;3.8.20;16
DESKTOP-CVDFUJ0;benchmark_N3000_P1_R2;benchmark;3000;1;2;1000.0;25.0;benchmark;ok;0;35.243033;results\DESKTOP-CVDFUJ0\benchmark_N3000_P1_R2;3.8.20;16
DESKTOP-CVDFUJ0;benchmark_N3000_P1_R3;benchmark;3000;1;3;1000.0;25.0;benchmark;ok;0;35.378024;results\DESKTOP-CVDFUJ0\benchmark_N3000_P1_R3;3.8.20;16
DESKTOP-CVDFUJ0;benchmark_N3000_P2_R1;benchmark;3000;2;1;1000.0;25.0;benchmark;failed;1;1.124316;results\DESKTOP-CVDFUJ0\benchmark_N3000_P2_R1;3.8.20;16
