machine;particles;mpi_ranks;years;dt;mode;repeats;steps;frames;mean_total_seconds;min_total_seconds;max_total_seconds;mean_physics_seconds;mean_communication_seconds;mean_gather_seconds;mean_plotting_seconds;mean_gif_seconds;physics_percent_total;communication_percent_total;plotting_percent_total;speedup_vs_1_rank_same_machine;efficiency_vs_1_rank_same_machine_percent
Cacete;500;1;1000.0;25.0;benchmark;3;40;2;1.140137;1.105164;1.182715;1.107338;0.000000;0.001538;0.000000;0.000000;97.12;0.00;0.00;1.0000;100.00
Cacete;500;2;1000.0;25.0;benchmark;3;40;2;0.567550;0.552624;0.596556;0.527786;0.029853;0.001780;0.000000;0.000000;92.99;5.26;0.00;2.0089;100.44
Cacete;500;4;1000.0;25.0;benchmark;3;40;2;0.309022;0.305902;0.313547;0.260845;0.038146;0.002168;0.000000;0.000000;84.41;12.34;0.00;3.6895;92.24
Cacete;1000;1;1000.0;25.0;benchmark;3;40;2;6.543764;6.370733;6.712350;6.443686;0.000000;0.002163;0.000000;0.000000;98.47;0.00;0.00;1.0000;100.00
Cacete;1000;2;1000.0;25.0;benchmark;3;40;2;2.640141;2.607859;2.660172;2.524623;0.052431;0.002981;0.000000;0.000000;95.62;1.99;0.00;2.4786;123.93
Cacete;1000;4;1000.0;25.0;benchmark;3;40;2;1.249572;1.239927;1.265997;1.139120;0.081635;0.002779;0.000000;0.000000;91.16;6.53;0.00;5.2368;130.92
Cacete;1000;4;1000.0;25.0;custom;3;40;2;3.584230;3.512357;3.621527;1.116412;1.009023;0.001976;2.370441;0.000000;31.15;28.15;66.14;0.0000;0.00
Cacete;1500;1;1000.0;25.0;benchmark;3;40;2;16.976096;15.748093;17.976881;16.792370;0.000000;0.002543;0.000000;0.000000;98.92;0.00;0.00;1.0000;100.00
Cacete;1500;2;1000.0;25.0;benchmark;3;40;2;8.093422;7.866746;8.235084;7.840693;0.087358;0.008372;0.000000;0.000000;96.88;1.08;0.00;2.0975;104.88
Cacete;1500;4;1000.0;25.0;benchmark;3;40;2;3.615473;3.498579;3.734887;3.280122;0.228027;0.007328;0.000000;0.000000;90.72;6.31;0.00;4.6954;117.39
Cacete;2000;1;1000.0;25.0;benchmark;3;40;2;29.804418;29.320251;30.722369;29.557050;0.000000;0.003036;0.000000;0.000000;99.17;0.00;0.00;1.0000;100.00
