particles;years;dt;plot_interval;mode;total_runtime_seconds;total_runtime_human;mpi_ranks;particle_counts_per_rank;total_particles_reduce_check;steps;frames;actual_plot_interval_years;center_initial_conditions;initial_center_of_mass_before_correction;recenter_every_steps;gif_path;physics_model;integrator;mpi_methods;csv_delimiter;timer_initial_conditions_seconds;timer_recentering_seconds;timer_physics_seconds;timer_communication_seconds;timer_diagnostics_and_gather_seconds;timer_energy_diagnostics_seconds;timer_plotting_seconds;timer_gif_creation_seconds;timer_total_seconds;machine;test_id;source_file
2000;10000.0;25.0;1000.0;benchmark;86.275342;1.44 min;4;[500, 500, 500, 500];2000;400;11;1000.0;True;{'total_mass': 982442.0116658824, 'com_x': -0.43955091937631163, 'com_y': 1.8672435060218062, 'com_z': -0.8579044339283659, 'com_speed': 0.0031796593402094657};0;not_generated;Newtonian all-pairs N-body with gravitational softening and central mass;Leapfrog / velocity-Verlet;"bcast; scatter; allgather; isend; irecv; gather; reduce; allreduce; Barrier";";";0.002808;0.001876;82.385969;3.961101;0.042118;1.776660;0.000000;0.000000;86.275342;raw_tests;plot_cost_noplot;results\raw\plotting_cost\plot_cost_noplot\runtime_summary.csv
2000;10000.0;25.0;1000.0;report;114.992987;1.92 min;4;[500, 500, 500, 500];2000;400;11;1000.0;True;{'total_mass': 982442.0116658824, 'com_x': -0.43955091937631163, 'com_y': 1.8672435060218062, 'com_z': -0.8579044339283659, 'com_speed': 0.0031796593402094657};0;plot_cost_withplot\galaxy_physical_smooth.gif;Newtonian all-pairs N-body with gravitational softening and central mass;Leapfrog / velocity-Verlet;"bcast; scatter; allgather; isend; irecv; gather; reduce; allreduce; Barrier";";";0.002638;0.001594;89.750434;20.669321;0.071542;1.775927;18.662629;2.518485;114.992987;raw_tests;plot_cost_withplot;results\raw\plotting_cost\plot_cost_withplot\runtime_summary.csv
50000;1000.0;25.0;1000.0;benchmark;2892.660741;48.21 min;4;[12500, 12500, 12500, 12500];50000;40;2;1000.0;True;{'total_mass': 24254280.2463875, 'com_x': 0.3968772989354073, 'com_y': 0.2640707622244375, 'com_z': -0.08048315386804535, 'com_speed': 0.0004280694639717195};0;not_generated;Newtonian all-pairs N-body with gravitational softening and central mass;Leapfrog / velocity-Verlet;"bcast; scatter; allgather; isend; irecv; gather; reduce; allreduce; Barrier";";";0.010709;0.003309;2885.224521;13.029882;0.262590;0.267632;0.000000;0.000000;2892.660741;raw_tests;bench_50k;results\raw\stress_tests\bench_50k\runtime_summary.csv
10000;1000.0;25.0;1000.0;benchmark;758.749953;12.65 min;1;[10000];10000;40;2;1000.0;True;{'total_mass': 4884927.644930208, 'com_x': -0.45208742582044664, 'com_y': -0.1454588236231774, 'com_z': -0.08442312589209984, 'com_speed': 0.0008906068599727376};0;not_generated;Newtonian all-pairs N-body with gravitational softening and central mass;Leapfrog / velocity-Verlet;"bcast; scatter; allgather; isend; irecv; gather; reduce; allreduce; Barrier";";";0.007311;0.001252;758.161760;0.000000;0.035187;0.474694;0.000000;0.000000;758.749953;raw_tests;bench_10k_r1;results\raw\strong_scaling_10k\bench_10k_r1\runtime_summary.csv
10000;1000.0;25.0;1000.0;benchmark;215.968661;3.60 min;2;[5000, 5000];10000;40;2;1000.0;True;{'total_mass': 4860671.854140251, 'com_x': 0.24579474277221888, 'com_y': -0.05093290167451067, 'com_z': -0.029053151155274765, 'com_speed': 0.0012940861073982225};0;not_generated;Newtonian all-pairs N-body with gravitational softening and central mass;Leapfrog / velocity-Verlet;"bcast; scatter; allgather; isend; irecv; gather; reduce; allreduce; Barrier";";";0.004932;0.001494;215.662977;0.156372;0.006168;0.246155;0.000000;0.000000;215.968661;raw_tests;bench_10k_r2;results\raw\strong_scaling_10k\bench_10k_r2\runtime_summary.csv
10000;1000.0;25.0;1000.0;benchmark;239.547326;3.99 min;4;[2500, 2500, 2500, 2500];10000;40;2;1000.0;True;{'total_mass': 4860504.172757565, 'com_x': -0.30943859485546255, 'com_y': -0.15818796851634864, 'com_z': 0.05634892205628937, 'com_speed': 0.0006395907888662524};0;not_generated;Newtonian all-pairs N-body with gravitational softening and central mass;Leapfrog / velocity-Verlet;"bcast; scatter; allgather; isend; irecv; gather; reduce; allreduce; Barrier";";";0.004204;0.001736;237.741189;1.837231;0.064939;0.394897;0.000000;0.000000;239.547326;raw_tests;bench_10k_r4;results\raw\strong_scaling_10k\bench_10k_r4\runtime_summary.csv
10000;1000.0;25.0;1000.0;benchmark;261.720062;4.36 min;4;[2500, 2500, 2500, 2500];10000;40;2;1000.0;True;{'total_mass': 4860504.172757565, 'com_x': -0.30943859485546255, 'com_y': -0.15818796851634864, 'com_z': 0.05634892205628937, 'com_speed': 0.0006395907888662524};0;not_generated;Newtonian all-pairs N-body with gravitational softening and central mass;Leapfrog / velocity-Verlet;"bcast; scatter; allgather; isend; irecv; gather; reduce; allreduce; Barrier";";";0.004336;0.001956;259.624199;2.396976;0.051268;0.527695;0.000000;0.000000;261.720062;raw_tests;weak_10000_r4;results\raw\weak_scaling\weak_10000_r4\runtime_summary.csv
2500;1000.0;25.0;1000.0;benchmark;57.470135;57.47 s;1;[2500];2500;40;2;1000.0;True;{'total_mass': 1206021.9691098637, 'com_x': -0.7498574465421788, 'com_y': -1.1692995757116142, 'com_z': 0.0505551952667425, 'com_speed': 0.002004442784107204};0;not_generated;Newtonian all-pairs N-body with gravitational softening and central mass;Leapfrog / velocity-Verlet;"bcast; scatter; allgather; isend; irecv; gather; reduce; allreduce; Barrier";";";0.003549;0.000782;57.032789;0.000000;0.002315;0.401741;0.000000;0.000000;57.470135;raw_tests;weak_2500_r1;results\raw\weak_scaling\weak_2500_r1\runtime_summary.csv
5000;1000.0;25.0;1000.0;benchmark;102.464675;1.71 min;2;[2500, 2500];5000;40;2;1000.0;True;{'total_mass': 2430190.6306566615, 'com_x': 0.11375964794522804, 'com_y': -0.8204006409584274, 'com_z': -0.05178812255544541, 'com_speed': 0.001112779273023352};0;not_generated;Newtonian all-pairs N-body with gravitational softening and central mass;Leapfrog / velocity-Verlet;"bcast; scatter; allgather; isend; irecv; gather; reduce; allreduce; Barrier";";";0.003620;0.001153;101.820352;0.413418;0.009504;0.375751;0.000000;0.000000;102.464675;raw_tests;weak_5000_r2;results\raw\weak_scaling\weak_5000_r2\runtime_summary.csv
1000;1000.0;25.0;1000.0;benchmark;6.712350;6.71 s;1;[1000];1000;40;2;1000.0;True;{'total_mass': 484119.4215580409, 'com_x': -1.537849629764002, 'com_y': 1.1494400314449364, 'com_z': -0.24296202125951122, 'com_speed': 0.002659717705696492};0;not_generated;Newtonian all-pairs N-body with gravitational softening and central mass;Leapfrog / velocity-Verlet;"bcast; scatter; allgather; isend; irecv; gather; reduce; allreduce; Barrier";";";0.002235;0.000490;6.615919;0.000000;0.002507;0.080616;0.000000;0.000000;6.712350;Cacete;benchmark_N1000_P1_R1;results\results_pcs\Cacete\benchmark_N1000_P1_R1\runtime_summary.csv
