frame;step;year;particles;mpi_ranks;kinetic;potential;total_energy;energy_drift_percent;virial_ratio;max_radius;mean_radius;mean_speed;angular_momentum_norm;potential_is_estimated
0;0;0.000000;2000;4;5.756288617020e+03;-1.553991870617e+04;-9.783630089147e+03;0.00000000;0.74083896;164.03522718;46.47166906;9.492291586373e-02;3.280092183691e+06;0
1;40;1000.000000;2000;4;6.214567623969e+03;-1.597801944176e+04;-9.763451817790e+03;0.20624524;0.77788961;160.53840481;42.51465218;1.061358495311e-01;3.280092183691e+06;0
2;80;2000.000000;2000;4;6.195083187669e+03;-1.594996464854e+04;-9.754881460870e+03;0.29384419;0.77681466;140.68394993;40.31646236;1.068793394865e-01;3.280092183691e+06;0
3;120;3000.000000;2000;4;6.169265229192e+03;-1.592616685809e+04;-9.756901628901e+03;0.27319574;0.77473322;146.67242975;41.33279164;1.059900647025e-01;3.280092183691e+06;0
4;160;4000.000000;2000;4;6.139980994587e+03;-1.590002433312e+04;-9.760043338536e+03;0.24108383;0.77232347;158.50258211;42.91392960;1.048694726967e-01;3.280092183691e+06;0
5;200;5000.000000;2000;4;6.011915662551e+03;-1.576032642727e+04;-9.748410764721e+03;0.35998218;0.76291766;174.03000931;43.12924736;1.038709833812e-01;3.280092183691e+06;0
6;240;6000.000000;2000;4;6.116785888709e+03;-1.586367160616e+04;-9.746885717453e+03;0.37556992;0.77116900;200.60586836;42.89992067;1.053438613315e-01;3.280092183691e+06;0
7;280;7000.000000;2000;4;6.167862750774e+03;-1.592032327981e+04;-9.752460529036e+03;0.31858891;0.77484140;214.97599648;42.67442897;1.055368023984e-01;3.280092183691e+06;0
8;320;8000.000000;2000;4;6.225788097083e+03;-1.598042359754e+04;-9.754635500460e+03;0.29635819;0.77917685;218.77983561;42.59631027;1.060716363216e-01;3.280092183691e+06;0
9;360;9000.000000;2000;4;5.996753724850e+03;-1.573655189590e+04;-9.739798171050e+03;0.44801283;0.76214329;212.39413841;42.63854871;1.041312914218e-01;3.280092183691e+06;0
10;400;10000.000000;2000;4;5.985413773096e+03;-1.572130489663e+04;-9.735891123537e+03;0.48794737;0.76143982;208.82453464;42.84041290;1.039191970815e-01;3.280092183691e+06;0
