machine;test_id;test_kind;particles;mpi_ranks;repeat;years;dt;mode;status;returncode;external_wall_seconds;output_dir;python;os_cpu_count
LAPTOP-C1CDPADH;benchmark_N500_P1_R1;benchmark;500;1;1;1000.0;25.0;benchmark;ok;0;2.837857;results\LAPTOP-C1CDPADH\benchmark_N500_P1_R1;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N500_P1_R2;benchmark;500;1;2;1000.0;25.0;benchmark;ok;0;1.636279;results\LAPTOP-C1CDPADH\benchmark_N500_P1_R2;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N500_P1_R3;benchmark;500;1;3;1000.0;25.0;benchmark;ok;0;1.579057;results\LAPTOP-C1CDPADH\benchmark_N500_P1_R3;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N500_P2_R1;benchmark;500;2;1;1000.0;25.0;benchmark;ok;0;1.302148;results\LAPTOP-C1CDPADH\benchmark_N500_P2_R1;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N500_P2_R2;benchmark;500;2;2;1000.0;25.0;benchmark;ok;0;1.340435;results\LAPTOP-C1CDPADH\benchmark_N500_P2_R2;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N500_P2_R3;benchmark;500;2;3;1000.0;25.0;benchmark;ok;0;1.551113;results\LAPTOP-C1CDPADH\benchmark_N500_P2_R3;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N500_P4_R1;benchmark;500;4;1;1000.0;25.0;benchmark;ok;0;1.367876;results\LAPTOP-C1CDPADH\benchmark_N500_P4_R1;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N500_P4_R2;benchmark;500;4;2;1000.0;25.0;benchmark;ok;0;1.474807;results\LAPTOP-C1CDPADH\benchmark_N500_P4_R2;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N500_P4_R3;benchmark;500;4;3;1000.0;25.0;benchmark;ok;0;1.245194;results\LAPTOP-C1CDPADH\benchmark_N500_P4_R3;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N1000_P1_R1;benchmark;1000;1;1;1000.0;25.0;benchmark;ok;0;4.712188;results\LAPTOP-C1CDPADH\benchmark_N1000_P1_R1;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N1000_P1_R2;benchmark;1000;1;2;1000.0;25.0;benchmark;ok;0;4.570702;results\LAPTOP-C1CDPADH\benchmark_N1000_P1_R2;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N1000_P1_R3;benchmark;1000;1;3;1000.0;25.0;benchmark;ok;0;4.607294;results\LAPTOP-C1CDPADH\benchmark_N1000_P1_R3;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N1000_P2_R1;benchmark;1000;2;1;1000.0;25.0;benchmark;ok;0;2.732818;results\LAPTOP-C1CDPADH\benchmark_N1000_P2_R1;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N1000_P2_R2;benchmark;1000;2;2;1000.0;25.0;benchmark;ok;0;2.707459;results\LAPTOP-C1CDPADH\benchmark_N1000_P2_R2;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N1000_P2_R3;benchmark;1000;2;3;1000.0;25.0;benchmark;ok;0;2.751648;results\LAPTOP-C1CDPADH\benchmark_N1000_P2_R3;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N1000_P4_R1;benchmark;1000;4;1;1000.0;25.0;benchmark;ok;0;1.970358;results\LAPTOP-C1CDPADH\benchmark_N1000_P4_R1;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N1000_P4_R2;benchmark;1000;4;2;1000.0;25.0;benchmark;ok;0;2.124960;results\LAPTOP-C1CDPADH\benchmark_N1000_P4_R2;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N1000_P4_R3;benchmark;1000;4;3;1000.0;25.0;benchmark;ok;0;2.389483;results\LAPTOP-C1CDPADH\benchmark_N1000_P4_R3;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N1500_P1_R1;benchmark;1500;1;1;1000.0;25.0;benchmark;ok;0;10.958422;results\LAPTOP-C1CDPADH\benchmark_N1500_P1_R1;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N1500_P1_R2;benchmark;1500;1;2;1000.0;25.0;benchmark;ok;0;10.949792;results\LAPTOP-C1CDPADH\benchmark_N1500_P1_R2;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N1500_P1_R3;benchmark;1500;1;3;1000.0;25.0;benchmark;ok;0;11.272019;results\LAPTOP-C1CDPADH\benchmark_N1500_P1_R3;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N1500_P2_R1;benchmark;1500;2;1;1000.0;25.0;benchmark;ok;0;6.338856;results\LAPTOP-C1CDPADH\benchmark_N1500_P2_R1;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N1500_P2_R2;benchmark;1500;2;2;1000.0;25.0;benchmark;ok;0;6.119893;results\LAPTOP-C1CDPADH\benchmark_N1500_P2_R2;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N1500_P2_R3;benchmark;1500;2;3;1000.0;25.0;benchmark;ok;0;6.431003;results\LAPTOP-C1CDPADH\benchmark_N1500_P2_R3;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N1500_P4_R1;benchmark;1500;4;1;1000.0;25.0;benchmark;ok;0;3.903208;results\LAPTOP-C1CDPADH\benchmark_N1500_P4_R1;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N1500_P4_R2;benchmark;1500;4;2;1000.0;25.0;benchmark;ok;0;3.979192;results\LAPTOP-C1CDPADH\benchmark_N1500_P4_R2;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N1500_P4_R3;benchmark;1500;4;3;1000.0;25.0;benchmark;ok;0;4.238568;results\LAPTOP-C1CDPADH\benchmark_N1500_P4_R3;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N2000_P1_R1;benchmark;2000;1;1;1000.0;25.0;benchmark;ok;0;18.913019;results\LAPTOP-C1CDPADH\benchmark_N2000_P1_R1;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N2000_P1_R2;benchmark;2000;1;2;1000.0;25.0;benchmark;ok;0;20.214382;results\LAPTOP-C1CDPADH\benchmark_N2000_P1_R2;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N2000_P1_R3;benchmark;2000;1;3;1000.0;25.0;benchmark;ok;0;17.993200;results\LAPTOP-C1CDPADH\benchmark_N2000_P1_R3;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N2000_P2_R1;benchmark;2000;2;1;1000.0;25.0;benchmark;ok;0;10.907080;results\LAPTOP-C1CDPADH\benchmark_N2000_P2_R1;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N2000_P2_R2;benchmark;2000;2;2;1000.0;25.0;benchmark;ok;0;11.114998;results\LAPTOP-C1CDPADH\benchmark_N2000_P2_R2;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N2000_P2_R3;benchmark;2000;2;3;1000.0;25.0;benchmark;ok;0;9.071115;results\LAPTOP-C1CDPADH\benchmark_N2000_P2_R3;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N2000_P4_R1;benchmark;2000;4;1;1000.0;25.0;benchmark;ok;0;4.895597;results\LAPTOP-C1CDPADH\benchmark_N2000_P4_R1;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N2000_P4_R2;benchmark;2000;4;2;1000.0;25.0;benchmark;ok;0;5.013503;results\LAPTOP-C1CDPADH\benchmark_N2000_P4_R2;3.8.20;16
LAPTOP-C1CDPADH;benchmark_N2000_P4_R3;benchmark;2000;4;3;1000.0;25.0;benchmark;ok;0;4.829888;results\LAPTOP-C1CDPADH\benchmark_N2000_P4_R3;3.8.20;16
LAPTOP-C1CDPADH;plot_no_gif_N1000_P4_R1;plot_no_gif;1000;4;1;1000.0;25.0;custom;ok;0;3.228068;results\LAPTOP-C1CDPADH\plot_no_gif_N1000_P4_R1;3.8.20;16
LAPTOP-C1CDPADH;plot_no_gif_N1000_P4_R2;plot_no_gif;1000;4;2;1000.0;25.0;custom;ok;0;3.192478;results\LAPTOP-C1CDPADH\plot_no_gif_N1000_P4_R2;3.8.20;16
LAPTOP-C1CDPADH;plot_no_gif_N1000_P4_R3;plot_no_gif;1000;4;3;1000.0;25.0;custom;ok;0;3.287580;results\LAPTOP-C1CDPADH\plot_no_gif_N1000_P4_R3;3.8.20;16
