machine;test_id;test_kind;particles;mpi_ranks;repeat;years;dt;mode;status;returncode;external_wall_seconds;output_dir;python;os_cpu_count
Cacete;benchmark_N500_P1_R1;benchmark;500;1;1;1000.0;25.0;benchmark;ok;0;1.839956;results\Cacete\benchmark_N500_P1_R1;3.8.20;8
Cacete;benchmark_N500_P1_R2;benchmark;500;1;2;1000.0;25.0;benchmark;ok;0;1.919281;results\Cacete\benchmark_N500_P1_R2;3.8.20;8
Cacete;benchmark_N500_P1_R3;benchmark;500;1;3;1000.0;25.0;benchmark;ok;0;1.848874;results\Cacete\benchmark_N500_P1_R3;3.8.20;8
Cacete;benchmark_N500_P2_R1;benchmark;500;2;1;1000.0;25.0;benchmark;ok;0;1.282897;results\Cacete\benchmark_N500_P2_R1;3.8.20;8
Cacete;benchmark_N500_P2_R2;benchmark;500;2;2;1000.0;25.0;benchmark;ok;0;1.339876;results\Cacete\benchmark_N500_P2_R2;3.8.20;8
Cacete;benchmark_N500_P2_R3;benchmark;500;2;3;1000.0;25.0;benchmark;ok;0;1.305468;results\Cacete\benchmark_N500_P2_R3;3.8.20;8
Cacete;benchmark_N500_P4_R1;benchmark;500;4;1;1000.0;25.0;benchmark;ok;0;1.097960;results\Cacete\benchmark_N500_P4_R1;3.8.20;8
Cacete;benchmark_N500_P4_R2;benchmark;500;4;2;1000.0;25.0;benchmark;ok;0;1.106373;results\Cacete\benchmark_N500_P4_R2;3.8.20;8
Cacete;benchmark_N500_P4_R3;benchmark;500;4;3;1000.0;25.0;benchmark;ok;0;1.103591;results\Cacete\benchmark_N500_P4_R3;3.8.20;8
Cacete;benchmark_N1000_P1_R1;benchmark;1000;1;1;1000.0;25.0;benchmark;ok;0;7.454128;results\Cacete\benchmark_N1000_P1_R1;3.8.20;8
Cacete;benchmark_N1000_P1_R2;benchmark;1000;1;2;1000.0;25.0;benchmark;ok;0;7.117095;results\Cacete\benchmark_N1000_P1_R2;3.8.20;8
Cacete;benchmark_N1000_P1_R3;benchmark;1000;1;3;1000.0;25.0;benchmark;ok;0;7.285964;results\Cacete\benchmark_N1000_P1_R3;3.8.20;8
Cacete;benchmark_N1000_P2_R1;benchmark;1000;2;1;1000.0;25.0;benchmark;ok;0;3.478860;results\Cacete\benchmark_N1000_P2_R1;3.8.20;8
Cacete;benchmark_N1000_P2_R2;benchmark;1000;2;2;1000.0;25.0;benchmark;ok;0;3.436033;results\Cacete\benchmark_N1000_P2_R2;3.8.20;8
Cacete;benchmark_N1000_P2_R3;benchmark;1000;2;3;1000.0;25.0;benchmark;ok;0;3.457709;results\Cacete\benchmark_N1000_P2_R3;3.8.20;8
Cacete;benchmark_N1000_P4_R1;benchmark;1000;4;1;1000.0;25.0;benchmark;ok;0;2.029363;results\Cacete\benchmark_N1000_P4_R1;3.8.20;8
Cacete;benchmark_N1000_P4_R2;benchmark;1000;4;2;1000.0;25.0;benchmark;ok;0;2.033797;results\Cacete\benchmark_N1000_P4_R2;3.8.20;8
Cacete;benchmark_N1000_P4_R3;benchmark;1000;4;3;1000.0;25.0;benchmark;ok;0;2.058296;results\Cacete\benchmark_N1000_P4_R3;3.8.20;8
Cacete;benchmark_N1500_P1_R1;benchmark;1500;1;1;1000.0;25.0;benchmark;ok;0;18.717398;results\Cacete\benchmark_N1500_P1_R1;3.8.20;8
Cacete;benchmark_N1500_P1_R2;benchmark;1500;1;2;1000.0;25.0;benchmark;ok;0;17.993164;results\Cacete\benchmark_N1500_P1_R2;3.8.20;8
Cacete;benchmark_N1500_P1_R3;benchmark;1500;1;3;1000.0;25.0;benchmark;ok;0;16.477393;results\Cacete\benchmark_N1500_P1_R3;3.8.20;8
Cacete;benchmark_N1500_P2_R1;benchmark;1500;2;1;1000.0;25.0;benchmark;ok;0;8.650810;results\Cacete\benchmark_N1500_P2_R1;3.8.20;8
Cacete;benchmark_N1500_P2_R2;benchmark;1500;2;2;1000.0;25.0;benchmark;ok;0;9.004545;results\Cacete\benchmark_N1500_P2_R2;3.8.20;8
Cacete;benchmark_N1500_P2_R3;benchmark;1500;2;3;1000.0;25.0;benchmark;ok;0;9.062681;results\Cacete\benchmark_N1500_P2_R3;3.8.20;8
Cacete;benchmark_N1500_P4_R1;benchmark;1500;4;1;1000.0;25.0;benchmark;ok;0;4.778144;results\Cacete\benchmark_N1500_P4_R1;3.8.20;8
Cacete;benchmark_N1500_P4_R2;benchmark;1500;4;2;1000.0;25.0;benchmark;ok;0;4.391657;results\Cacete\benchmark_N1500_P4_R2;3.8.20;8
Cacete;benchmark_N1500_P4_R3;benchmark;1500;4;3;1000.0;25.0;benchmark;ok;0;4.788580;results\Cacete\benchmark_N1500_P4_R3;3.8.20;8
Cacete;benchmark_N2000_P1_R1;benchmark;2000;1;1;1000.0;25.0;benchmark;ok;0;31.455902;results\Cacete\benchmark_N2000_P1_R1;3.8.20;8
Cacete;benchmark_N2000_P1_R2;benchmark;2000;1;2;1000.0;25.0;benchmark;ok;0;30.010814;results\Cacete\benchmark_N2000_P1_R2;3.8.20;8
Cacete;benchmark_N2000_P1_R3;benchmark;2000;1;3;1000.0;25.0;benchmark;ok;0;30.074191;results\Cacete\benchmark_N2000_P1_R3;3.8.20;8
Cacete;benchmark_N2000_P2_R1;benchmark;2000;2;1;1000.0;25.0;benchmark;ok;0;14.463364;results\Cacete\benchmark_N2000_P2_R1;3.8.20;8
Cacete;benchmark_N2000_P2_R2;benchmark;2000;2;2;1000.0;25.0;benchmark;ok;0;14.022581;results\Cacete\benchmark_N2000_P2_R2;3.8.20;8
Cacete;benchmark_N2000_P2_R3;benchmark;2000;2;3;1000.0;25.0;benchmark;ok;0;15.174957;results\Cacete\benchmark_N2000_P2_R3;3.8.20;8
Cacete;benchmark_N2000_P4_R1;benchmark;2000;4;1;1000.0;25.0;benchmark;ok;0;7.862792;results\Cacete\benchmark_N2000_P4_R1;3.8.20;8
Cacete;benchmark_N2000_P4_R2;benchmark;2000;4;2;1000.0;25.0;benchmark;ok;0;7.888332;results\Cacete\benchmark_N2000_P4_R2;3.8.20;8
