frame;year;represented_particles;sample_particles;sample_weight;density_max;density_sum;camera_azim
1;0.000000;100000000;300000;333.333333;5.501866e+04;1.665104e+08;25.000000
2;8403361.344538;100000000;300000;333.333333;5.474216e+04;1.665103e+08;25.756303
3;16806722.689076;100000000;300000;333.333333;5.456623e+04;1.665104e+08;26.512605
4;25210084.033613;100000000;300000;333.333333;5.473158e+04;1.665103e+08;27.268908
5;33613445.378151;100000000;300000;333.333333;5.445080e+04;1.665103e+08;28.025210
6;42016806.722689;100000000;300000;333.333333;5.421757e+04;1.665104e+08;28.781513
7;50420168.067227;100000000;300000;333.333333;5.451208e+04;1.665103e+08;29.537815
8;58823529.411765;100000000;300000;333.333333;5.429916e+04;1.665103e+08;30.294118
9;67226890.756303;100000000;300000;333.333333;5.376874e+04;1.665103e+08;31.050420
10;75630252.100840;100000000;300000;333.333333;5.403121e+04;1.665103e+08;31.806723
11;84033613.445378;100000000;300000;333.333333;5.412701e+04;1.665103e+08;32.563025
12;92436974.789916;100000000;300000;333.333333;5.414236e+04;1.665103e+08;33.319328
13;100840336.134454;100000000;300000;333.333333;5.382014e+04;1.665104e+08;34.075630
14;109243697.478992;100000000;300000;333.333333;5.407388e+04;1.665103e+08;34.831933
15;117647058.823529;100000000;300000;333.333333;5.352061e+04;1.665104e+08;35.588235
16;126050420.168067;100000000;300000;333.333333;5.405065e+04;1.665104e+08;36.344538
17;134453781.512605;100000000;300000;333.333333;5.387541e+04;1.665103e+08;37.100840
18;142857142.857143;100000000;300000;333.333333;5.408745e+04;1.665103e+08;37.857143
19;151260504.201681;100000000;300000;333.333333;5.362724e+04;1.665103e+08;38.613445
20;159663865.546218;100000000;300000;333.333333;5.376584e+04;1.665103e+08;39.369748
21;168067226.890756;100000000;300000;333.333333;5.419265e+04;1.665103e+08;40.126050
22;176470588.235294;100000000;300000;333.333333;5.374158e+04;1.665103e+08;40.882353
23;184873949.579832;100000000;300000;333.333333;5.376880e+04;1.665103e+08;41.638655
24;193277310.924370;100000000;300000;333.333333;5.390507e+04;1.665103e+08;42.394958
25;201680672.268908;100000000;300000;333.333333;5.396984e+04;1.665103e+08;43.151261
26;210084033.613445;100000000;300000;333.333333;5.350496e+04;1.665103e+08;43.907563
27;218487394.957983;100000000;300000;333.333333;5.411330e+04;1.665103e+08;44.663866
28;226890756.302521;100000000;300000;333.333333;5.395590e+04;1.665103e+08;45.420168
29;235294117.647059;100000000;300000;333.333333;5.406246e+04;1.665103e+08;46.176471
30;243697478.991597;100000000;300000;333.333333;5.438993e+04;1.665103e+08;46.932773
31;252100840.336134;100000000;300000;333.333333;5.370881e+04;1.665103e+08;47.689076
32;260504201.680672;100000000;300000;333.333333;5.430448e+04;1.665104e+08;48.445378
33;268907563.025210;100000000;300000;333.333333;5.435928e+04;1.665103e+08;49.201681
34;277310924.369748;100000000;300000;333.333333;5.406008e+04;1.665104e+08;49.957983
35;285714285.714286;100000000;300000;333.333333;5.475442e+04;1.665103e+08;50.714286
36;294117647.058824;100000000;300000;333.333333;5.467620e+04;1.665103e+08;51.470588
37;302521008.403361;100000000;300000;333.333333;5.470474e+04;1.665103e+08;52.226891
38;310924369.747899;100000000;300000;333.333333;5.479754e+04;1.665103e+08;52.983193
39;319327731.092437;100000000;300000;333.333333;5.466295e+04;1.665104e+08;53.739496
40;327731092.436975;100000000;300000;333.333333;5.488239e+04;1.665103e+08;54.495798
41;336134453.781513;100000000;300000;333.333333;5.547512e+04;1.665103e+08;55.252101
42;344537815.126050;100000000;300000;333.333333;5.486315e+04;1.665103e+08;56.008403
43;352941176.470588;100000000;300000;333.333333;5.591996e+04;1.665103e+08;56.764706
44;361344537.815126;100000000;300000;333.333333;5.585332e+04;1.665104e+08;57.521008
45;369747899.159664;100000000;300000;333.333333;5.542759e+04;1.665104e+08;58.277311
46;378151260.504202;100000000;300000;333.333333;5.601854e+04;1.665104e+08;59.033613
47;386554621.848740;100000000;300000;333.333333;5.613227e+04;1.665104e+08;59.789916
48;394957983.193277;100000000;300000;333.333333;5.591290e+04;1.665103e+08;60.546218
49;403361344.537815;100000000;300000;333.333333;5.637286e+04;1.665103e+08;61.302521
