frame;step;year;particles;mpi_ranks;kinetic;potential;total_energy;energy_drift_percent;virial_ratio;max_radius;mean_radius;mean_speed;angular_momentum_norm;potential_is_estimated
0;0;0.000000;800;4;2.320603732627e+03;-6.127828998208e+03;-3.807225265581e+03;0.00000000;0.75739833;157.47716202;46.58677484;9.636179704704e-02;1.344294903655e+06;0
1;10;200.000000;800;4;2.137416860098e+03;-5.936401055330e+03;-3.798984195233e+03;0.21645870;0.72010528;155.74413566;46.55136913;9.751726844388e-02;1.344294903655e+06;0
2;20;400.000000;800;4;2.307387341895e+03;-6.106847433811e+03;-3.799460091916e+03;0.20395887;0.75567218;153.21580521;45.46106840;1.010842399291e-01;1.344294903655e+06;0
3;30;600.000000;800;4;2.571337479425e+03;-6.374680101392e+03;-3.803342621967e+03;0.10198093;0.80673459;149.86580514;44.01179691;1.066353312892e-01;1.344294903655e+06;0
4;40;800.000000;800;4;2.339222814706e+03;-6.137458981321e+03;-3.798236166616e+03;0.23610631;0.76227729;145.65709147;43.55107209;1.031612899719e-01;1.344294903655e+06;0
5;50;1000.000000;800;4;2.565089004273e+03;-6.366146231044e+03;-3.801057226771e+03;0.16200877;0.80585300;140.53940919;42.28942593;1.081758563348e-01;1.344294903655e+06;0
6;60;1200.000000;800;4;2.559526983720e+03;-6.358393965699e+03;-3.798866981978e+03;0.21953741;0.80508600;134.44540534;41.54654155;1.086230575911e-01;1.344294903655e+06;0
7;70;1400.000000;800;4;2.430758770143e+03;-6.228389378984e+03;-3.797630608841e+03;0.25201180;0.78054168;132.12909919;41.27709920;1.061940851864e-01;1.344294903655e+06;0
8;80;1600.000000;800;4;2.623394460599e+03;-6.424464754372e+03;-3.801070293773e+03;0.16166555;0.81668888;133.26322421;40.55787207;1.094854930171e-01;1.344294903655e+06;0
9;90;1800.000000;800;4;2.622739680518e+03;-6.425543219188e+03;-3.802803538669e+03;0.11614041;0.81634800;134.40062155;40.40185912;1.102438754146e-01;1.344294903655e+06;0
10;100;2000.000000;800;4;2.445445193860e+03;-6.243479098785e+03;-3.798033904925e+03;0.24141888;0.78335978;135.53211025;40.59098045;1.064884861136e-01;1.344294903655e+06;0
11;110;2200.000000;800;4;2.585877237354e+03;-6.384669568841e+03;-3.798792331487e+03;0.22149816;0.81002696;136.64901330;40.29473807;1.092357778148e-01;1.344294903655e+06;0
12;120;2400.000000;800;4;2.438351996397e+03;-6.235383840918e+03;-3.797031844521e+03;0.26773885;0.78210165;137.74317180;40.75901242;1.063753628332e-01;1.344294903655e+06;0
13;130;2600.000000;800;4;2.439064781922e+03;-6.237429340368e+03;-3.798364558445e+03;0.23273399;0.78207372;138.80700893;40.94895702;1.056041435059e-01;1.344294903655e+06;0
14;140;2800.000000;800;4;2.552980292977e+03;-6.352771649893e+03;-3.799791356916e+03;0.19525791;0.80373747;139.83352929;40.93850830;1.079966293042e-01;1.344294903655e+06;0
15;150;3000.000000;800;4;2.442099118468e+03;-6.240399226897e+03;-3.798300108429e+03;0.23442682;0.78267400;140.81627901;41.60094529;1.061001847868e-01;1.344294903655e+06;0
16;160;3200.000000;800;4;2.457334404062e+03;-6.255863477964e+03;-3.798529073902e+03;0.22841285;0.78560998;141.74935958;42.05399383;1.059494189945e-01;1.344294903655e+06;0
17;170;3400.000000;800;4;2.360521080404e+03;-6.158078542778e+03;-3.797557462374e+03;0.25393305;0.76664208;142.62741403;42.61274330;1.040262385718e-01;1.344294903655e+06;0
18;180;3600.000000;800;4;2.431759471053e+03;-6.232656725809e+03;-3.800897254756e+03;0.16621057;0.78032838;143.44560741;42.77038696;1.051102016857e-01;1.344294903655e+06;0
19;190;3800.000000;800;4;2.455783733184e+03;-6.253788856898e+03;-3.798005123714e+03;0.24217484;0.78537469;144.19959220;42.96191303;1.057602691669e-01;1.344294903655e+06;0
20;200;4000.000000;800;4;2.327721675934e+03;-6.125013727045e+03;-3.797292051112e+03;0.26090430;0.76007068;144.88548692;43.32515500;1.027685568563e-01;1.344294903655e+06;0
